id_dedl,original,upper,missions,unsep,rmstr,split
,GEOtop_snowdepth,GEOTOP_SNOWDEPTH,GEOTOP_SNOWDEPTH,GEOTOP SNOWDEPTH,GTOP SNOWDEPTH,"['GTOP', 'SNOWDEPTH']"
,LIA_Sentinel1_Track015_Indexed,LIA_SENTINEL1_TRACK015_INDEXED,LIA_SENTINEL1_TRACK015_INDEXED,LIA SENTINEL1 TRACK015 INDEXED,LIA SENTINEL1 TRACK015 INDEXED,"['LIA', 'SENTINEL1', 'TRACK015', 'INDEXED']"
,LIA_Sentinel1_Track044_Indexed,LIA_SENTINEL1_TRACK044_INDEXED,LIA_SENTINEL1_TRACK044_INDEXED,LIA SENTINEL1 TRACK044 INDEXED,LIA SENTINEL1 TRACK044 INDEXED,"['LIA', 'SENTINEL1', 'TRACK044', 'INDEXED']"
,LIA_Sentinel1_Track066_Indexed,LIA_SENTINEL1_TRACK066_INDEXED,LIA_SENTINEL1_TRACK066_INDEXED,LIA SENTINEL1 TRACK066 INDEXED,LIA SENTINEL1 TRACK066 INDEXED,"['LIA', 'SENTINEL1', 'TRACK066', 'INDEXED']"
,LIA_Sentinel1_Track088_Indexed,LIA_SENTINEL1_TRACK088_INDEXED,LIA_SENTINEL1_TRACK088_INDEXED,LIA SENTINEL1 TRACK088 INDEXED,LIA SENTINEL1 TRACK088 INDEXED,"['LIA', 'SENTINEL1', 'TRACK088', 'INDEXED']"
,LIA_Sentinel1_Track095_Indexed,LIA_SENTINEL1_TRACK095_INDEXED,LIA_SENTINEL1_TRACK095_INDEXED,LIA SENTINEL1 TRACK095 INDEXED,LIA SENTINEL1 TRACK095 INDEXED,"['LIA', 'SENTINEL1', 'TRACK095', 'INDEXED']"
,LIA_Sentinel1_Track117_Indexed,LIA_SENTINEL1_TRACK117_INDEXED,LIA_SENTINEL1_TRACK117_INDEXED,LIA SENTINEL1 TRACK117 INDEXED,LIA SENTINEL1 TRACK117 INDEXED,"['LIA', 'SENTINEL1', 'TRACK117', 'INDEXED']"
,LIA_Sentinel1_Track139_Indexed,LIA_SENTINEL1_TRACK139_INDEXED,LIA_SENTINEL1_TRACK139_INDEXED,LIA SENTINEL1 TRACK139 INDEXED,LIA SENTINEL1 TRACK139 INDEXED,"['LIA', 'SENTINEL1', 'TRACK139', 'INDEXED']"
,LIA_Sentinel1_Track168_Indexed,LIA_SENTINEL1_TRACK168_INDEXED,LIA_SENTINEL1_TRACK168_INDEXED,LIA SENTINEL1 TRACK168 INDEXED,LIA SENTINEL1 TRACK168 INDEXED,"['LIA', 'SENTINEL1', 'TRACK168', 'INDEXED']"
,Modis_snow_eurac,MODIS_SNOW_EURAC,MODIS_SNOW_EURAC,MODIS SNOW EURAC,MODIS SNOW EURAC,"['MODIS', 'SNOW', 'EURAC']"
