id_dedl,original,upper,missions,unsep,rmstr,split
,modis-17A2HGF-061,MODIS-17A2HGF-061,MODIS-17A2HGF-061,MODIS 17A2HGF 061,MODIS 17A2HGF 061,"['MODIS', '17A2HGF', '061']"
,modis-17A3HGF-061,MODIS-17A3HGF-061,MODIS-17A3HGF-061,MODIS 17A3HGF 061,MODIS 17A3HGF 061,"['MODIS', '17A3HGF', '061']"
,modis-21A2-061,MODIS-21A2-061,MODIS-21A2-061,MODIS 21A2 061,MODIS 21A2 061,"['MODIS', '21A2', '061']"
,modis-43A4-061,MODIS-43A4-061,MODIS-43A4-061,MODIS 43A4 061,MODIS 43A4 061,"['MODIS', '43A4', '061']"
,modis-64A1-061,MODIS-64A1-061,MODIS-64A1-061,MODIS 64A1 061,MODIS 64A1 061,"['MODIS', '64A1', '061']"
,ms-buildings,MS-BUILDINGS,MS-BUILDINGS,MS BUILDINGS,MS BUILDINGS,"['MS', 'BUILDINGS']"
,mtbs,MTBS,MTBS,MTBS,MTBS,['MTBS']
,naip,NAIP,NAIP,NAIP,NAIP,['NAIP']
,nasa-nex-gddp-cmip6,NASA-NEX-GDDP-CMIP6,NASA-NEX-GDDP-CMIP6,NASA NEX GDDP CMIP6,NASA NEX GDDP CMIP6,"['NASA', 'NEX', 'GDDP', 'CMIP6']"
,nasadem,NASADEM,NASADEM,NASADEM,NASADEM,['NASADEM']
,noaa-c-cap,NOAA-C-CAP,NOAA-C-CAP,NOAA C CAP,NOAA C CAP,"['NOAA', 'C', 'CAP']"
,noaa-cdr-ocean-heat-content,NOAA-CDR-OCEAN-HEAT-CONTENT,NOAA-CDR-OCEAN-HEAT-CONTENT,NOAA CDR OCEAN HEAT CONTENT,NOAA CDR OCEAN HEAT CONTENT,"['NOAA', 'CDR', 'OCEAN', 'HEAT', 'CONTENT']"
,noaa-cdr-ocean-heat-content-netcdf,NOAA-CDR-OCEAN-HEAT-CONTENT-NETCDF,NOAA-CDR-OCEAN-HEAT-CONTENT-NETCDF,NOAA CDR OCEAN HEAT CONTENT NETCDF,NOAA CDR OCEAN HEAT CONTENT NETCDF,"['NOAA', 'CDR', 'OCEAN', 'HEAT', 'CONTENT', 'NETCDF']"
,noaa-cdr-sea-surface-temperature-optimum-interpolation,NOAA-CDR-SEA-SURFACE-TEMPERATURE-OPTIMUM-INTERPOLATION,NOAA-CDR-SEA-SURFACE-TEMPERATURE-OPTIMUM-INTERPOLATION,NOAA CDR SEA SURFACE TEMPERATURE OPTIMUM INTERPOLATION,NOAA CDR SEA SURFACE TEMPERATURE OPTIMUM INTERPOLATION,"['NOAA', 'CDR', 'SEA', 'SURFACE', 'TEMPERATURE', 'OPTIMUM', 'INTERPOLATION']"
,noaa-cdr-sea-surface-temperature-whoi,NOAA-CDR-SEA-SURFACE-TEMPERATURE-WHOI,NOAA-CDR-SEA-SURFACE-TEMPERATURE-WHOI,NOAA CDR SEA SURFACE TEMPERATURE WHOI,NOAA CDR SEA SURFACE TEMPERATURE WHOI,"['NOAA', 'CDR', 'SEA', 'SURFACE', 'TEMPERATURE', 'WHOI']"
,noaa-cdr-sea-surface-temperature-whoi-netcdf,NOAA-CDR-SEA-SURFACE-TEMPERATURE-WHOI-NETCDF,NOAA-CDR-SEA-SURFACE-TEMPERATURE-WHOI-NETCDF,NOAA CDR SEA SURFACE TEMPERATURE WHOI NETCDF,NOAA CDR SEA SURFACE TEMPERATURE WHOI NETCDF,"['NOAA', 'CDR', 'SEA', 'SURFACE', 'TEMPERATURE', 'WHOI', 'NETCDF']"
,noaa-climate-normals-gridded,NOAA-CLIMATE-NORMALS-GRIDDED,NOAA-CLIMATE-NORMALS-GRIDDED,NOAA CLIMATE NORMALS GRIDDED,NOAA CLIMATE NORMALS GRIDDED,"['NOAA', 'CLIMATE', 'NORMALS', 'GRIDDED']"
,noaa-climate-normals-netcdf,NOAA-CLIMATE-NORMALS-NETCDF,NOAA-CLIMATE-NORMALS-NETCDF,NOAA CLIMATE NORMALS NETCDF,NOAA CLIMATE NORMALS NETCDF,"['NOAA', 'CLIMATE', 'NORMALS', 'NETCDF']"
,noaa-climate-normals-tabular,NOAA-CLIMATE-NORMALS-TABULAR,NOAA-CLIMATE-NORMALS-TABULAR,NOAA CLIMATE NORMALS TABULAR,NOAA CLIMATE NORMALS TABULAR,"['NOAA', 'CLIMATE', 'NORMALS', 'TABULAR']"
,noaa-mrms-qpe-1h-pass1,NOAA-MRMS-QPE-1H-PASS1,NOAA-MRMS-QPE-1H-PASSENTINEL1,NOAA MRMS QPE 1H PASSENTINEL1,NOAA MRMS QPE 1H PASSENTINEL1,"['NOAA', 'MRMS', 'QPE', '1H', 'PASSENTINEL1']"
,noaa-mrms-qpe-1h-pass2,NOAA-MRMS-QPE-1H-PASS2,NOAA-MRMS-QPE-1H-PASSENTINEL2,NOAA MRMS QPE 1H PASSENTINEL2,NOAA MRMS QPE 1H PASSENTINEL2,"['NOAA', 'MRMS', 'QPE', '1H', 'PASSENTINEL2']"
,noaa-mrms-qpe-24h-pass2,NOAA-MRMS-QPE-24H-PASS2,NOAA-MRMS-QPE-24H-PASSENTINEL2,NOAA MRMS QPE 24H PASSENTINEL2,NOAA MRMS QPE 24H PASSENTINEL2,"['NOAA', 'MRMS', 'QPE', '24H', 'PASSENTINEL2']"
,noaa-nclimgrid-monthly,NOAA-NCLIMGRID-MONTHLY,NOAA-NCLIMGRID-MONTHLY,NOAA NCLIMGRID MONTHLY,NOAA NCLIMGRID MONTHLY,"['NOAA', 'NCLIMGRID', 'MONTHLY']"
,nrcan-landcover,NRCAN-LANDCOVER,NRCAN-LANDCOVER,NRCAN LANDCOVER,NRCAN LANDCOVER,"['NRCAN', 'LANDCOVER']"
,planet-nicfi-analytic,PLANET-NICFI-ANALYTIC,PLANET-NICFI-ANALYTIC,PLANET NICFI ANALYTIC,PLANET NICFI ANALYTIC,"['PLANET', 'NICFI', 'ANALYTIC']"
,planet-nicfi-visual,PLANET-NICFI-VISUAL,PLANET-NICFI-VISUAL,PLANET NICFI VISUAL,PLANET NICFI VISUAL,"['PLANET', 'NICFI', 'VISUAL']"
,sentinel-1-grd,SENTINEL-1-GRD,SENTINEL1-GRD,SENTINEL1 GRD,SENTINEL1 GRD,"['SENTINEL1', 'GRD']"
,sentinel-1-rtc,SENTINEL-1-RTC,SENTINEL1-RTC,SENTINEL1 RTC,SENTINEL1 RTC,"['SENTINEL1', 'RTC']"
,sentinel-2-l2a,SENTINEL-2-L2A,SENTINEL2-L2A,SENTINEL2 L2A,SENTINEL2 L2A,"['SENTINEL2', 'L2A']"
,sentinel-3-olci-lfr-l2-netcdf,SENTINEL-3-OLCI-LFR-L2-NETCDF,SENTINEL3-OLCI-LFR-L2-NETCDF,SENTINEL3 OLCI LFR L2 NETCDF,SENTINEL3 OLCI LFR L2 NETCDF,"['SENTINEL3', 'OLCI', 'LFR', 'L2', 'NETCDF']"
,sentinel-3-olci-wfr-l2-netcdf,SENTINEL-3-OLCI-WFR-L2-NETCDF,SENTINEL3-OLCI-WFR-L2-NETCDF,SENTINEL3 OLCI WFR L2 NETCDF,SENTINEL3 OLCI WFR L2 NETCDF,"['SENTINEL3', 'OLCI', 'WFR', 'L2', 'NETCDF']"
,sentinel-3-slstr-frp-l2-netcdf,SENTINEL-3-SLSTR-FRP-L2-NETCDF,SENTINEL3-SLSTR-FRP-L2-NETCDF,SENTINEL3 SLSTR FRP L2 NETCDF,SENTINEL3 SLSTR FRP L2 NETCDF,"['SENTINEL3', 'SLSTR', 'FRP', 'L2', 'NETCDF']"
,sentinel-3-slstr-lst-l2-netcdf,SENTINEL-3-SLSTR-LST-L2-NETCDF,SENTINEL3-SLSTR-LST-L2-NETCDF,SENTINEL3 SLSTR LST L2 NETCDF,SENTINEL3 SLSTR LST L2 NETCDF,"['SENTINEL3', 'SLSTR', 'LST', 'L2', 'NETCDF']"
,sentinel-3-slstr-wst-l2-netcdf,SENTINEL-3-SLSTR-WST-L2-NETCDF,SENTINEL3-SLSTR-WST-L2-NETCDF,SENTINEL3 SLSTR WST L2 NETCDF,SENTINEL3 SLSTR WST L2 NETCDF,"['SENTINEL3', 'SLSTR', 'WST', 'L2', 'NETCDF']"
,sentinel-3-sral-lan-l2-netcdf,SENTINEL-3-SRAL-LAN-L2-NETCDF,SENTINEL3-SRAL-LAN-L2-NETCDF,SENTINEL3 SRAL LAN L2 NETCDF,SENTINEL3 SRAL LAN L2 NETCDF,"['SENTINEL3', 'SRAL', 'LAN', 'L2', 'NETCDF']"
,sentinel-3-sral-wat-l2-netcdf,SENTINEL-3-SRAL-WAT-L2-NETCDF,SENTINEL3-SRAL-WAT-L2-NETCDF,SENTINEL3 SRAL WAT L2 NETCDF,SENTINEL3 SRAL WAT L2 NETCDF,"['SENTINEL3', 'SRAL', 'WAT', 'L2', 'NETCDF']"
,sentinel-3-synergy-aod-l2-netcdf,SENTINEL-3-SYNERGY-AOD-L2-NETCDF,SENTINEL3-SYNERGY-AOD-L2-NETCDF,SENTINEL3 SYNERGY AOD L2 NETCDF,SENTINEL3 SYNERGY AOD L2 NETCDF,"['SENTINEL3', 'SYNERGY', 'AOD', 'L2', 'NETCDF']"
,sentinel-3-synergy-syn-l2-netcdf,SENTINEL-3-SYNERGY-SYN-L2-NETCDF,SENTINEL3-SYNERGY-SYN-L2-NETCDF,SENTINEL3 SYNERGY SYN L2 NETCDF,SENTINEL3 SYNERGY SYN L2 NETCDF,"['SENTINEL3', 'SYNERGY', 'SYN', 'L2', 'NETCDF']"
,sentinel-3-synergy-v10-l2-netcdf,SENTINEL-3-SYNERGY-V10-L2-NETCDF,SENTINEL3-SYNERGY-V10-L2-NETCDF,SENTINEL3 SYNERGY V10 L2 NETCDF,SENTINEL3 SYNERGY V10 L2 NETCDF,"['SENTINEL3', 'SYNERGY', 'V10', 'L2', 'NETCDF']"
,sentinel-3-synergy-vg1-l2-netcdf,SENTINEL-3-SYNERGY-VG1-L2-NETCDF,SENTINEL3-SYNERGY-VG1-L2-NETCDF,SENTINEL3 SYNERGY VG1 L2 NETCDF,SENTINEL3 SYNERGY VG1 L2 NETCDF,"['SENTINEL3', 'SYNERGY', 'VG1', 'L2', 'NETCDF']"
,sentinel-3-synergy-vgp-l2-netcdf,SENTINEL-3-SYNERGY-VGP-L2-NETCDF,SENTINEL3-SYNERGY-VGP-L2-NETCDF,SENTINEL3 SYNERGY VGP L2 NETCDF,SENTINEL3 SYNERGY VGP L2 NETCDF,"['SENTINEL3', 'SYNERGY', 'VGP', 'L2', 'NETCDF']"
,sentinel-5p-l2-netcdf,SENTINEL-5P-L2-NETCDF,SENTINEL5P-L2-NETCDF,SENTINEL5P L2 NETCDF,SENTINEL5P L2 NETCDF,"['SENTINEL5P', 'L2', 'NETCDF']"
,terraclimate,TERRACLIMATE,TERRACLIMATE,TERRACLIMATE,TERRACLIMATE,['TERRACLIMATE']
,us-census,US-CENSUS,US-CENSUS,US CENSUS,US CENSUS,"['US', 'CENSUS']"
,usda-cdl,USDA-CDL,USDA-CDL,USDA CDL,USDA CDL,"['USDA', 'CDL']"
,usgs-lcmap-conus-v13,USGS-LCMAP-CONUS-V13,USGS-LCMAP-CONUS-V13,USGS LCMAP CONUS V13,USGS LCMAP CONUS V13,"['USGS', 'LCMAP', 'CONUS', 'V13']"
,usgs-lcmap-hawaii-v10,USGS-LCMAP-HAWAII-V10,USGS-LCMAP-HAWAII-V10,USGS LCMAP HAWAII V10,USGS LCMAP HAWAII V10,"['USGS', 'LCMAP', 'HAWAII', 'V10']"
