id_dedl,original,upper,missions,unsep,rmstr,split
,8fe2db0c-f68e-4f41-aee7-0173c719e48d,8FE2DB0C-F68E-4F41-AEE7-0173C719E48D,8FE2DB0C-F68E-4F41-AEE7-0173C719E48D,8FE2DB0C F68E 4F41 AEE7 0173C719E48D,8FE2DB0C F68E 4F41 AEE7 0173C719E48D,"['8FE2DB0C', 'F68E', '4F41', 'AEE7', '0173C719E48D']"
,900432a6-8a5b-44c5-b104-3c005a853c1e,900432A6-8A5B-44C5-B104-3C005A853C1E,900432A6-8A5B-44C5-B104-3C005A853C1E,900432A6 8A5B 44C5 B104 3C005A853C1E,900432A6 8A5B 44C5 B104 3C005A853C1E,"['900432A6', '8A5B', '44C5', 'B104', '3C005A853C1E']"
,914de14f-3c10-498c-8496-24eba79f3b6d,914DE14F-3C10-498C-8496-24EBA79F3B6D,914DE14F-3C10-498C-8496-24EBA79F3B6D,914DE14F 3C10 498C 8496 24EBA79F3B6D,914DE14F 3C10 498C 8496 24EBA79F3B6D,"['914DE14F', '3C10', '498C', '8496', '24EBA79F3B6D']"
,917a3b74-aa4d-49cc-a052-bd32cf7d339b,917A3B74-AA4D-49CC-A052-BD32CF7D339B,917A3B74-AA4D-49CC-A052-BD32CF7D339B,917A3B74 AA4D 49CC A052 BD32CF7D339B,917A3B74 AA4D 49CC A052 BD32CF7D339B,"['917A3B74', 'AA4D', '49CC', 'A052', 'BD32CF7D339B']"
,91f51509-324d-42c2-a4df-b19d5c9ac925,91F51509-324D-42C2-A4DF-B19D5C9AC925,91F51509-324D-42C2-A4DF-B19D5C9AC925,91F51509 324D 42C2 A4DF B19D5C9AC925,91F51509 324D 42C2 A4DF B19D5C9AC925,"['91F51509', '324D', '42C2', 'A4DF', 'B19D5C9AC925']"
,9334e411-7679-4b4f-88bd-9f1a4daabc09,9334E411-7679-4B4F-88BD-9F1A4DAABC09,9334E411-7679-4B4F-88BD-9F1A4DAABC09,9334E411 7679 4B4F 88BD 9F1A4DAABC09,9334E411 7679 4B4F 88BD 9F1A4DAABC09,"['9334E411', '7679', '4B4F', '88BD', '9F1A4DAABC09']"
,93723431-044c-4eb7-b79f-473774918225,93723431-044C-4EB7-B79F-473774918225,93723431-044C-4EB7-B79F-473774918225,93723431 044C 4EB7 B79F 473774918225,93723431 044C 4EB7 B79F 473774918225,"['93723431', '044C', '4EB7', 'B79F', '473774918225']"
,938c37f3-d550-4ee9-9fd2-dd85f1e43065,938C37F3-D550-4EE9-9FD2-DD85F1E43065,938C37F3-D550-4EE9-9FD2-DD85F1E43065,938C37F3 D550 4EE9 9FD2 DD85F1E43065,938C37F3 D550 4EE9 9FD2 DD85F1E43065,"['938C37F3', 'D550', '4EE9', '9FD2', 'DD85F1E43065']"
,9816d748-ffd3-48e1-ad27-a52a5de77c48,9816D748-FFD3-48E1-AD27-A52A5DE77C48,9816D748-FFD3-48E1-AD27-A52A5DE77C48,9816D748 FFD3 48E1 AD27 A52A5DE77C48,9816D748 FFD3 48E1 AD27 A52A5DE77C48,"['9816D748', 'FFD3', '48E1', 'AD27', 'A52A5DE77C48']"
,9833b8ce-ae6b-437f-8161-2d812e4e43ff,9833B8CE-AE6B-437F-8161-2D812E4E43FF,9833B8CE-AE6B-437F-8161-2D812E4E43FF,9833B8CE AE6B 437F 8161 2D812E4E43FF,9833B8CE AE6B 437F 8161 2D812E4E43FF,"['9833B8CE', 'AE6B', '437F', '8161', '2D812E4E43FF']"
